Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

DVI2       DVI-I_CONNECTOR    783.677mil    251.586mil    933.677mil    229.086mil    408.677mil    379.086mil  T        360.00 DVI CONNECTOR  
DVI1       DVI-I_CONNECTOR   2378.031mil    247.087mil   2528.031mil    224.587mil   2003.031mil    374.587mil  T        360.00 DVI CONNECTOR  
C46        SMD_0402_CAP          1920mil    667.087mil       1920mil    667.087mil       1920mil    647.402mil  B         90.00 Cap Semi       
C45        SMD_0402_CAP          3140mil    352.087mil       3140mil    352.087mil       3140mil    371.772mil  B        270.00 Cap Semi       
R23        SMD_0402_RES          3020mil    352.087mil       3020mil    352.087mil       3020mil    332.402mil  B         90.00 Res3           
R18        SMD_0402_RES          2900mil    352.087mil       2900mil    352.087mil       2900mil    332.402mil  B         90.00 1KR            
J2         LFH-60              2422.5mil    732.087mil       2420mil    807.087mil       2770mil    657.087mil  T        180.00 LFH-60 CONNECTOR
J3         LFH-60               750.5mil    732.087mil        748mil    807.087mil       1098mil    657.087mil  T        180.00 LFH-60 CONNECTOR
Q2         SOT323             2879.41mil    849.488mil    2879.41mil    849.488mil       2905mil    812.087mil  B        180.00 PMOS           
Q1         SOT323                2940mil     87.087mil       2940mil     87.087mil   2914.409mil    124.488mil  B        360.00 NMOS           
Q3         SOT323                3105mil     87.087mil       3105mil     87.087mil   3079.409mil    124.488mil  B        360.00 NMOS           
Q4         SOT323                1815mil     82.087mil       1815mil     82.087mil   1840.591mil     44.685mil  B        180.00 NMOS           
R22        SMD_0402_RES          3140mil    227.087mil       3140mil    227.087mil       3140mil    207.402mil  B         90.00 Res3           
R26        SMD_0402_RES          1645mil    117.087mil       1645mil    117.087mil   1664.685mil    117.087mil  B        180.00 Res3           
R28        SMD_0402_RES       2849.41mil    724.488mil    2849.41mil    724.488mil    2849.41mil    704.803mil  B         90.00 Res3           
R27        SMD_0402_RES       2909.41mil    724.488mil    2909.41mil    724.488mil    2909.41mil    704.803mil  B         90.00 Res3           
R29        SMD_0402_RES          1645mil    182.087mil       1645mil    182.087mil   1664.685mil    182.087mil  B        180.00 Res3           
R25        SMD_0402_RES          2960mil    352.087mil       2960mil    352.087mil       2960mil    371.772mil  B        270.00 Res3           
R10        SMD_0402_RES      2520.532mil    137.717mil   2520.532mil    137.717mil   2520.532mil    157.402mil  B        270.00 16.7R          
R7         SMD_0402_RES      2580.532mil    137.717mil   2580.532mil    137.717mil   2580.532mil    118.032mil  B         90.00 16.7R          
R6         SMD_0402_RES      2640.532mil    137.717mil   2640.532mil    137.717mil   2640.532mil    118.032mil  B         90.00 16.7R          
R9         SMD_0402_RES      2340.532mil    137.717mil   2340.532mil    137.717mil   2340.532mil    157.402mil  B        270.00 16.7R          
R8         SMD_0402_RES      2400.532mil    137.717mil   2400.532mil    137.717mil   2400.532mil    157.402mil  B        270.00 16.7R          
R11        SMD_0402_RES      2460.532mil    137.717mil   2460.532mil    137.717mil   2460.532mil    157.402mil  B        270.00 16.7R          
R21        SMD_0402_RES      1371.677mil    352.087mil   1371.677mil    352.087mil   1371.677mil    371.772mil  B        270.00 Res3           
R20        SMD_0402_RES      1436.677mil    352.087mil   1436.677mil    352.087mil   1436.677mil    371.772mil  B        270.00 Res3           
R19        SMD_0402_RES      1306.677mil    352.087mil   1306.677mil    352.087mil   1306.677mil    332.402mil  B         90.00 1KR            
C44        SMD_0402_CAP      1501.677mil    352.087mil   1501.677mil    352.087mil   1501.677mil    371.772mil  B        270.00 Cap Semi       
R14        SMD_0402_RES       802.177mil    136.771mil    802.177mil    136.771mil    802.177mil    156.456mil  B        270.00 16.7R          
R15        SMD_0402_RES       742.177mil    136.771mil    742.177mil    136.771mil    742.177mil    156.456mil  B        270.00 16.7R          
R12        SMD_0402_RES      1042.177mil    136.771mil   1042.177mil    136.771mil   1042.177mil    117.086mil  B         90.00 16.7R          
R13        SMD_0402_RES       982.177mil    136.771mil    982.177mil    136.771mil    982.177mil    117.086mil  B         90.00 16.7R          
R16        SMD_0402_RES       922.177mil    136.771mil    922.177mil    136.771mil    922.177mil    156.456mil  B        270.00 16.7R          
R17        SMD_0402_RES       861.677mil    137.402mil    861.677mil    137.402mil    861.677mil    157.087mil  B        270.00 16.7R          
U5         SOIC8_+_MSOP8_INLINE    2984.52mil    542.087mil       3042mil    542.087mil   2931.764mil    467.087mil  B         90.00 24C02          
U6         SOIC8_+_MSOP8_INLINE       1660mil    484.606mil       1660mil    542.087mil       1735mil     431.85mil  B        180.00 24C02          
U7         SOIC8_+_MSOP8_INLINE    1312.52mil    542.087mil       1370mil    542.087mil   1259.764mil    467.087mil  B         90.00 24C02          

